frequency,power
3.410348405044731468e+00,1.993417989877893995e-03
3.419176193885637538e+00,3.937379183380667821e-03
3.428003982726544496e+00,5.981622916483380313e-03
3.436831771567451455e+00,8.005035146657018749e-03
3.445659560408358413e+00,9.904430457783037697e-03
3.454487349249266259e+00,1.158268327414111419e-02
3.463315138090173662e+00,1.295242391911463446e-02
3.472142926931080176e+00,1.394281803543472899e-02
3.480970715771987578e+00,1.450577896238646608e-02
3.489798504612894536e+00,1.461910224548692606e-02
3.498626293453801495e+00,1.428581461377619738e-02
3.507454082294708897e+00,1.353099915088367376e-02
3.516281871135615411e+00,1.239815482388209773e-02
3.525109659976522369e+00,1.094649435433871394e-02
3.533937448817429772e+00,9.249247002056338110e-03
3.542765237658336286e+00,7.391896710442884440e-03
3.551593026499243688e+00,5.468909135407927155e-03
3.560420815340151091e+00,3.578154962593862315e-03
3.569248604181058493e+00,1.813802933291315967e-03
3.578076393021965007e+00,2.678215148994696421e-04
3.586904181862871965e+00,1.031765554142800032e-03
3.595731970703779812e+00,1.993721707952751492e-03
3.604559759544686326e+00,2.611446735713414576e-03
3.613387548385592840e+00,2.878555737110495127e-03
3.622215337226500687e+00,2.809322777577855351e-03
3.631043126067407645e+00,2.437813800710468895e-03
3.639870914908314159e+00,1.817723048885113877e-03
3.648698703749221561e+00,1.027070268073066069e-03
3.657526492590128964e+00,3.316453459171653955e-04
3.666354281431035922e+00,9.608733276945458698e-04
3.675182070271942880e+00,1.830959856348169951e-03
3.684009859112849394e+00,2.590343095077609140e-03
3.692837647953757241e+00,3.157919594450446250e-03
3.701665436794664199e+00,3.477145403361876514e-03
3.710493225635571601e+00,3.510219292600768020e-03
3.719321014476478116e+00,3.240817663761615553e-03
3.728148803317385074e+00,2.679833885577988933e-03
3.736976592158292920e+00,1.884913010700778368e-03
3.745804380999199434e+00,1.101923884544929802e-03
3.754632169840106393e+00,1.341652672449195538e-03
3.763459958681014239e+00,2.567933030578043244e-03
3.772287747521920753e+00,4.025374977057293545e-03
3.781115536362827267e+00,5.509291664326307000e-03
3.789943325203734226e+00,6.916727864671069238e-03
3.798771114044641628e+00,8.166705954075531917e-03
3.807598902885548586e+00,9.191736345757258592e-03
3.816426691726455989e+00,9.939110285346979684e-03
3.825254480567362503e+00,1.037333938250167495e-02
3.834082269408269905e+00,1.047748480053054335e-02
3.842910058249176863e+00,1.025282315130359584e-02
3.851737847090084710e+00,9.717303648394065921e-03
3.860565635930991224e+00,8.903601003383852797e-03
3.869393424771898182e+00,7.857178222853764341e-03
3.878221213612806029e+00,6.634172663772263528e-03
3.887049002453712543e+00,5.298728451547268271e-03
3.895876791294619501e+00,3.919722435683603394e-03
3.904704580135526459e+00,2.567611214835529600e-03
3.913532368976433862e+00,1.315992918066182090e-03
3.922360157817340376e+00,3.574932717824946902e-04
3.931187946658247334e+00,8.568327944121258968e-04
3.940015735499155181e+00,1.545258144449505400e-03
3.948843524340062139e+00,2.015773689931461138e-03
3.957671313180969097e+00,2.248803845915783774e-03
3.966499102021876055e+00,2.252248437421935576e-03
3.975326890862783014e+00,2.049392013250119025e-03
3.984154679703690416e+00,1.675464200585211191e-03
3.992982468544597374e+00,1.174650622653432243e-03
4.001810257385504777e+00,5.972130678242886957e-04
4.010638046226411291e+00,4.871853753911450132e-05
4.019465835067318693e+00,5.873423239570969628e-04
4.028293623908226095e+00,1.089528522361995436e-03
4.037121412749132610e+00,1.476861809769476185e-03
4.045949201590040012e+00,1.716077016559055439e-03
4.054776990430946526e+00,1.784666608954069101e-03
4.063604779271853928e+00,1.671843716507496460e-03
4.072432568112761331e+00,1.379933570062388641e-03
4.081260356953667845e+00,9.303590114309883861e-04
4.090088145794575247e+00,4.325581015542119133e-04
4.098915934635481761e+00,6.481940320533170806e-04
4.107743723476389164e+00,1.424190455687280752e-03
4.116571512317296566e+00,2.294710784831680266e-03
4.125399301158203080e+00,3.177042102433396981e-03
4.134227089999110483e+00,4.019722588372165104e-03
4.143054878840017885e+00,4.778753794047393109e-03
4.151882667680924399e+00,5.416576299516928823e-03
4.160710456521831802e+00,5.902938693316883874e-03
4.169538245362739204e+00,6.215637302612837117e-03
4.178366034203645718e+00,6.340991154797055197e-03
4.187193823044553120e+00,6.274151144075560890e-03
4.196021611885459635e+00,6.019257062364721106e-03
4.204849400726367037e+00,5.589356770946640914e-03
4.213677189567274439e+00,5.005928979094026975e-03
4.222504978408180953e+00,4.297831631398889990e-03
4.231332767249088356e+00,3.499623872757062683e-03
4.240160556089994870e+00,2.649465254902597447e-03
4.248988344930902272e+00,1.787002062087505484e-03
4.257816133771809675e+00,9.519305573645541699e-04
4.266643922612716189e+00,1.960941123182572982e-04
4.275471711453623591e+00,5.162891258710026023e-04
4.284299500294530993e+00,1.070583816491611469e-03
4.293127289135437508e+00,1.486472786592988845e-03
4.301955077976344910e+00,1.749104778432638467e-03
4.310782866817252312e+00,1.854694561434625617e-03
4.319610655658158826e+00,1.809262912990694831e-03
4.328438444499066229e+00,1.628647076559334821e-03
4.337266233339972743e+00,1.338838743003382091e-03
4.346094022180880145e+00,9.793296679263519509e-04
4.354921811021787548e+00,6.248660438521302235e-04
4.363749599862694062e+00,4.837782038290609722e-04
4.372577388703601464e+00,7.151198841917213132e-04
4.381405177544507978e+00,1.056870880910200155e-03
4.390232966385415381e+00,1.360010474079635830e-03
4.399060755226322783e+00,1.571516513725599185e-03
4.407888544067229297e+00,1.663853209763193003e-03
4.416716332908136700e+00,1.622454764448578177e-03
4.425544121749044102e+00,1.443563516255600473e-03
4.434371910589950616e+00,1.134223808701439757e-03
4.443199699430858018e+00,7.163399362511943839e-04
4.452027488271765421e+00,2.936279174821543499e-04
4.460855277112671935e+00,5.502152567258765089e-04
4.469683065953579337e+00,1.166806702970254539e-03
4.478510854794485851e+00,1.818329107837179546e-03
4.487338643635393254e+00,2.449619318947443211e-03
4.496166432476300656e+00,3.023370283641208661e-03
4.504994221317207170e+00,3.508542667508259515e-03
4.513822010158114573e+00,3.880540255821150752e-03
4.522649798999021087e+00,4.122114603973110747e-03
4.531477587839928489e+00,4.223807843561365287e-03
4.540305376680835892e+00,4.183902901499616037e-03
4.549133165521742406e+00,4.008125923494019506e-03
4.557960954362649808e+00,3.709294869629979272e-03
4.566788743203557210e+00,3.306853070184647813e-03
4.575616532044463725e+00,2.825987620626596412e-03
4.584444320885371127e+00,2.296066236079525539e-03
4.593272109726278529e+00,1.748470661269271994e-03
4.602099898567185043e+00,1.214341997901446880e-03
4.610927687408092446e+00,7.233052339418597409e-04
4.619755476248998960e+00,3.089737048779105273e-04
4.628583265089906362e+00,1.520345453130293257e-04
4.637411053930813765e+00,3.542745020094981699e-04
4.646238842771720279e+00,5.018127338291048217e-04
4.655066631612627681e+00,5.556564945254901860e-04
4.663894420453534195e+00,5.194657221221453793e-04
4.672722209294441598e+00,4.068743682930447644e-04
4.681549998135349000e+00,2.426588945715071010e-04
4.690377786976255514e+00,1.244631206506284081e-04
4.699205575817162917e+00,2.790519991034673799e-04
4.708033364658070319e+00,5.006049877916782936e-04
4.716861153498976833e+00,7.063301027967822847e-04
4.725688942339884235e+00,8.713733583126731996e-04
4.734516731180791638e+00,9.793830879797989133e-04
