frequency,power
2.434817561538072717e+00,1.195412559347398540e-01
2.443808580309834610e+00,1.078863132195450325e-01
2.452799599081596060e+00,8.528902008271239954e-02
2.461790617853357510e+00,5.467017823533960180e-02
2.470781636625119404e+00,2.325654571516715813e-02
2.479772655396880854e+00,3.097189654913849385e-02
2.488763674168642304e+00,6.460733749090551148e-02
2.497754692940404198e+00,9.527580575322618095e-02
2.506745711712165647e+00,1.181012253832699060e-01
2.515736730483927097e+00,1.306551136450007367e-01
2.524727749255688991e+00,1.317195561268280357e-01
2.533718768027450441e+00,1.212654603510388562e-01
2.542709786799212335e+00,1.004718742793392905e-01
2.551700805570973785e+00,7.163201198634902567e-02
2.560691824342735234e+00,3.801148218646639015e-02
2.569682843114497128e+00,8.208786028618030722e-03
2.578673861886258578e+00,3.308543946834933969e-02
2.587664880658020472e+00,6.107677857380054004e-02
2.596655899429781922e+00,8.154991629225555316e-02
2.605646918201543372e+00,9.236752114103345679e-02
2.614637936973305266e+00,9.251956125651662755e-02
2.623628955745066715e+00,8.208199512594657743e-02
2.632619974516828165e+00,6.223458306898569520e-02
2.641610993288590059e+00,3.520779190114577129e-02
2.650602012060351509e+00,6.170226570568288806e-03
2.659593030832112959e+00,3.004511336074371097e-02
2.668584049603874853e+00,6.042477750317042789e-02
2.677575068375636302e+00,8.580994018963321313e-02
2.686566087147398196e+00,1.036033856417454546e-01
2.695557105919159646e+00,1.120544894324888713e-01
2.704548124690921096e+00,1.103303033428991026e-01
2.713539143462682990e+00,9.861181954868458721e-02
2.722530162234444440e+00,7.811214514588840641e-02
2.731521181006206334e+00,5.096939836378234362e-02
2.740512199777967783e+00,2.000600608391920818e-02
2.749503218549729233e+00,1.160213360248599050e-02
2.758494237321491127e+00,4.067182706655121660e-02
2.767485256093252577e+00,6.432445918016274633e-02
2.776476274865014027e+00,8.023435770517424459e-02
2.785467293636775921e+00,8.682921117243341813e-02
2.794458312408537370e+00,8.345255853858710160e-02
2.803449331180298820e+00,7.050202981236561306e-02
2.812440349952060714e+00,4.963074670938627531e-02
2.821431368723822164e+00,2.519028344197838179e-02
2.830422387495584058e+00,2.171240299952366393e-02
2.839413406267345508e+00,4.836975842688792659e-02
2.848404425039106957e+00,7.627759878359688384e-02
2.857395443810868851e+00,9.921006881379539066e-02
2.866386462582630301e+00,1.144069555820763778e-01
2.875377481354391751e+00,1.202238220911170247e-01
2.884368500126153645e+00,1.160065285435849108e-01
2.893359518897915095e+00,1.021157220600303200e-01
2.902350537669676989e+00,7.990634811297651907e-02
2.911341556441438438e+00,5.160839386940175438e-02
2.920332575213199888e+00,2.012586448944739606e-02
2.929323593984961782e+00,1.179580812626465115e-02
2.938314612756723232e+00,4.017034449487189712e-02
2.947305631528484682e+00,6.274309710880077162e-02
2.956296650300246576e+00,7.719004983380380047e-02
2.965287669072008025e+00,8.209337936786252621e-02
2.974278687843769919e+00,7.700983265907265785e-02
2.983269706615531369e+00,6.259666849264329536e-02
2.992260725387292819e+00,4.090750636525692513e-02
3.001251744159054713e+00,1.868484209527666515e-02
3.010242762930816163e+00,2.805764685907089634e-02
3.019233781702578057e+00,5.602434562047824834e-02
3.028224800474339506e+00,8.223697450242908880e-02
3.037215819246100956e+00,1.022213052360371188e-01
3.046206838017862850e+00,1.134629630557613678e-01
3.055197856789624300e+00,1.145212095779204048e-01
3.064188875561385750e+00,1.050207716137037534e-01
3.073179894333147200e+00,8.567394422869949178e-02
3.082170913104909094e+00,5.823126978906775081e-02
3.091161931876670543e+00,2.533484961126664103e-02
3.100152950648432437e+00,9.873452762071660560e-03
3.109143969420193887e+00,4.359912539891354355e-02
3.118134988191955781e+00,7.256426774619076370e-02
3.127126006963717231e+00,9.370148740296378731e-02
3.136117025735478681e+00,1.047340780025685092e-01
3.145108044507240574e+00,1.043912697850804677e-01
3.154099063279002024e+00,9.260416947223124029e-02
3.163090082050763918e+00,7.074451008795767937e-02
3.172081100822525368e+00,4.266144041830502442e-02
3.181072119594286818e+00,2.535233457013510994e-02
3.190063138366048712e+00,4.888293910047602359e-02
3.199054157137810162e+00,8.258928173884921842e-02
3.208045175909571611e+00,1.119859333563149872e-01
3.217036194681333505e+00,1.322084854361030015e-01
3.226027213453094955e+00,1.403296800349334017e-01
3.235018232224856405e+00,1.348135778351506608e-01
3.244009250996618299e+00,1.155379926215674147e-01
3.253000269768379749e+00,8.380640109869842702e-02
3.261991288540141198e+00,4.226521819516551592e-02
3.270982307311903092e+00,5.294923196172667511e-03
3.279973326083664098e+00,5.425017255871111832e-02
3.288964344855426436e+00,9.956541196381622771e-02
3.297955363627187886e+00,1.362706245150286932e-01
3.306946382398949780e+00,1.599722580944129002e-01
3.315937401170710785e+00,1.673346149734352140e-01
3.324928419942472679e+00,1.564842951956073314e-01
3.333919438714234573e+00,1.273232554368162461e-01
3.342910457485996023e+00,8.192756208517215644e-02
3.351901476257757473e+00,2.883011199983326681e-02
3.360892495029519367e+00,5.404494822048916403e-02
3.369883513801280817e+00,1.221488213306082260e-01
3.378874532573042266e+00,1.871644882433830537e-01
3.387865551344804160e+00,2.400910341365747602e-01
3.396856570116565610e+00,2.735627214775831484e-01
3.405847588888327060e+00,2.814046556899275631e-01
3.414838607660089398e+00,2.590819389463085987e-01
3.423829626431850404e+00,2.041067738963606437e-01
3.432820645203612298e+00,1.163735951552884035e-01
3.441811663975373747e+00,1.215893345041548466e-02
3.450802682747135641e+00,1.486632129317474460e-01
3.459793701518897091e+00,3.133339989906550604e-01
3.468784720290658541e+00,4.894894676503617204e-01
3.477775739062419991e+00,6.672672628491909119e-01
3.486766757834182329e+00,8.363044645471910954e-01
3.495757776605943334e+00,9.864936936465437123e-01
3.504748795377704784e+00,1.108804354613076582e+00
3.513739814149466678e+00,1.195958580325836129e+00
3.522730832921227684e+00,1.242877542708013205e+00
3.531721851692990022e+00,1.246913875250595272e+00
3.540712870464751916e+00,1.207933500352766032e+00
3.549703889236513366e+00,1.128300567839059187e+00
3.558694908008274815e+00,1.012781146748060523e+00
3.567685926780036265e+00,8.683326568626649200e-01
3.576676945551798159e+00,7.037094323298581644e-01
